id,text_description
254328,товары товары медицинские противогрибковые препараты для системного использования j02
254336,товары товары строительные эмали растворители краски лаки колеры грунтовки материалы лакокрасочные покрытия наносимые кроме огнезащитных
254360,товары товары строительные ограждения инвентарные
254371,товары товары хозяйственные техника бытовая зеркала
254383,товары товары строительные оборудование насосное
254384,товары изделия канцелярские бумага и бумажные изделия бумага для офисной техники
254410,товары товары строительные канаты шнуры тросы сыпучие строительные материалы и смеси спецтехника дорожная коммунальная и лесотехническая реагенты противогололедные оборудование и инвентарь для жкх прочее оборудование и инвентарь для жкх
254416,товары товары для учреждений культуры и искусства материалы для лепки и скульптуры
254418,товары мебель общего назначения кресла кресла
254419,товары товары хозяйственные техника бытовая лента клейкая упаковочная
254422,товары цветы растения товары для озеленения средства по уходу и содержанию цветов и растений семена газонных трав
254424,товары товары строительные эмали краски краски краски колеры покрытия антикоррозионные
254458,товары товары строительные щебень песок кварцевый
254464,изделия готовые прочие изделия готовые прочие игрушки в наборах или комплектах прочие не включенные в другие группировки
254475,товары продукты пищевые лук зеленый лук-порей лук репчатый чеснок петрушка морковь капуста белокочанная капуста краснокочанная капуста баклажаны свекла кабачки огурцы перец овощи томаты редис редька овощи и овощные консервы овощи переработанные и консервированные яблоки лимоны фрукты ягоды переработанные и консервированные фрукты ягоды переработанные и консервированные грибы тепличные капуста морская
254478,товары продукты пищевые крупа гречневая рис сахар белый свекловичный в твердом состоянии без вкусоароматических или красящих добавок соусы кулинарные изделия макаронные масло сливочное пищевые добавки кофе натуральный картофель лук-порей лук репчатый морковь капуста белокочанная огурцы перец овощи томаты салат овощи и овощные консервы овощи переработанные и консервированные овощи переработанные и консервированные горох консервированный без уксуса или уксусной кислоты кроме готовых блюд из овощей апельсины лимоны фрукты кроме сухофруктов и фруктовые консервы фрукты ягоды переработанные и консервированные фрукты ягоды переработанные и консервированные хлеб недлительного хранения изделия кондитерские говядина замороженная свинина замороженная мясо сельскохозяйственной птицы замороженное в том числе для детского питания мясные субпродукты колбасы копченые изделия колбасные вареные продукты переработки мяса яйца куриные в скорлупе свежие сливки сливки сыры полутвердые сыры мягкие консервы рыбные натуральные филе тресковых рыб мороженое
254481,товары товары хозяйственные техника бытовая контейнеры и другие емкости для мусора пластмассовые инвентарь уборочный металлический инвентарь для санузлов пластмассовый инструмент бытовой кроме электроинструмента
254485,товары товары строительные короба вентиляционные арматура сантехническая оборудование электротехническое бумага абразивная метизы крепежные изделия металлоизделия готовые прочие растворители лаки материалы строительные полимерные материалы теплоизоляционные материалы изоляционные плитка строительная материалы для отделки стен ламинат паркет петли дверные и воротные кабели электрические строительные кабели электрические строительные лента строительная адгезивная изделия расходные строительные прочие
254490,изделия готовые прочие изделия готовые прочие изделия медицинские в том числе хирургические прочие не включенные в другие группировки
254494,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение видеокамеры
254503,товары товары информационно-технологические средства связи оргтехника электроника включая программное обеспечение оборудование активное сетевое прочее
