code,description
01.02.06.01.03,ПАРАФИНИРОВАННАЯ КОМПРЕССНАЯ БУМАГА
01.02.06.01.05,МАРЛЯ
01.02.06.01.07,ПАСТА МЕДИЦИНСКАЯ
01.02.06.03.02.02.01,НЕОРГАНИЧЕСКИЕ ОСНОВАНИЯ
01.02.06.03.02.04,ДРУГИЕ СОЕДИНЕНИЯ
01.02.06.03.02.04.02,ДРУГИЕ НЕОРГАНИЧЕСКИЕ СОЕДИНЕНИЯ
01.02.06.03.02.06,РЕАКТИВЫ ДЛЯ ТИТРИМЕТРИИ
01.02.06.03.02.10,ФУКСИНЫ ОСНОВНЫЕ
01.02.06.03.03,КРАСИТЕЛИ ДЛЯ ХИМИЧЕСКОГО АНАЛИЗА
01.02.06.03.11,ИНДИКАТОРЫ МЕДИЦИНСКОГО НАЗНАЧЕНИЯ
01.02.06.04.03,МАТЕРИАЛЫ РАСХОДНЫЕ ДЛЯ ЭПИДУРАЛЬНОЙ АНЕСТЕЗИИ
01.02.06.04.10,СИСТЕМЫ ДЛЯ СТОМИРОВАНИЯ БОЛЬНЫХ
01.02.07.01.04,МЕНЗУРКИ
01.02.09.01.09,"ПРЕПАРАТЫ, СПОСОБСТВУЮЩИЕ ПИЩЕВАРЕНИЮ (ВКЛЮЧАЯ ФЕРМЕНТНЫЕ ПРЕПАРАТЫ),A09"
01.02.09.01.13,"ОБЩЕТОНИЗИРУЮЩИЕ ПРЕПАРАТЫ,A13"
01.02.09.03.07,"БЕТА-АДРЕНОБЛОКАТОРЫ, C07"
01.02.09.04.04,"ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗУДА (ВКЛЮЧАЯ АНТИГИСТАМИННЫЕ ПРЕПАРАТЫ И АНЕСТЕТИКИ,D04"
01.02.09.07.07,"ВАКЦИНЫ,J07"
01.02.09.08.02,"ПРОТИВООПУХОЛЕВЫЕ ГОРМОНАЛЬНЫЕ ПРЕПАРАТЫ,L02"
01.02.09.09.05,"ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ КОСТЕЙ,M05"
01.02.09.12.01,"НАЗАЛЬНЫЕ ПРЕПАРАТЫ,R01"
01.02.09.13.03.01,"ПРОТИВОМИКРОБНЫЕ ПРЕПАРАТЫ, S03A"
01.02.09.14.09,"РАДИОФАРМАЦЕВТИЧЕСКИЕ СРЕДСТВА ДИАГНОСТИЧЕСКИЕ,V09"
