code,description
01,Продукция и услуги сельского хозяйства и охоты
01.1,Культуры однолетние
01.11,"Культуры зерновые (кроме риса), зернобобовые, семена масличных культур"
01.11.1,Пшеница
01.11.11,Пшеница твердая
01.11.11.110,Пшеница озимая твердая
01.11.11.111,Зерно озимой твердой пшеницы
01.11.11.112,Семена озимой твердой пшеницы
01.11.11.120,Пшеница яровая твердая
01.11.11.121,Зерно яровой твердой пшеницы
01.11.11.122,Семена яровой твердой пшеницы
01.11.11.130,Зерноотходы твердой пшеницы
01.11.12,"Пшеница, кроме твердой пшеницы"
01.11.12.110,Пшеница озимая мягкая
01.11.12.111,Зерно озимой мягкой пшеницы
01.11.12.112,Семена озимой мягкой пшеницы
01.11.12.120,Пшеница яровая мягкая
01.11.12.121,Зерно яровой мягкой пшеницы
01.11.12.122,Семена яровой мягкой пшеницы
01.11.12.130,Зерноотходы мягкой пшеницы
01.11.12.140,Меслин (смесь пшеницы и ржи)
01.11.12.141,Зерно меслина
01.11.12.142,Семена меслина
01.11.12.143,Зерноотходы меслина
01.11.2,Кукуруза
01.11.20,Кукуруза
01.11.20.110,Кукуруза лопающаяся (рисовая)
01.11.20.111,Зерно лопающейся (рисовой) кукурузы
01.11.20.112,Семена лопающейся (рисовой) кукурузы
01.11.20.113,Початки лопающейся (рисовой) кукурузы
01.11.20.114,Початки обрушенные лопающейся (рисовой) кукурузы
01.11.20.120,Кукуруза кремнистая
01.11.20.121,Зерно кремнистой кукурузы
01.11.20.122,Семена кремнистой кукурузы
01.11.20.123,Початки кремнистой кукурузы
01.11.20.124,Початки обрушенные кремнистой кукурузы
01.11.20.130,"Кукуруза зубовидная и кукуруза прочих сортов, кроме сахарной"
01.11.20.131,Зерно зубовидной кукурузы и кукурузы прочих сортов
01.11.20.132,Семена зубовидной кукурузы и кукурузы прочих сортов
01.11.20.133,Початки зубовидной кукурузы и кукурузы прочих сортов
01.11.20.134,Початки обрушенные зубовидной кукурузы и кукурузы прочих сортов
01.11.20.140,Кукуруза разнотипная (смесь)
01.11.20.141,Зерно разнотипной кукурузы
01.11.20.142,Семена разнотипной кукурузы
01.11.20.143,Початки разнотипной кукурузы
01.11.20.150,Зерноотходы кукурузы
01.11.3,"Ячмень, рожь и овес"
01.11.31,Ячмень
01.11.31.100,Ячмень озимый
01.11.31.110,Зерно озимого ячменя
01.11.31.111,Зерно ячменя озимого пивоваренного
01.11.31.119,Зерно ячменя озимого прочего
01.11.31.120,Семена озимого ячменя
01.11.31.121,Семена ячменя озимого пивоваренного
01.11.31.129,Семена ячменя озимого прочего
01.11.31.200,Ячмень яровой
01.11.31.210,Зерно ярового ячменя
01.11.31.211,Зерно ячменя ярового пивоваренного
01.11.31.219,Зерно ячменя ярового прочего
01.11.31.220,Семена ярового ячменя
01.11.31.221,Семена ячменя ярового пивоваренного
01.11.31.229,Семена ячменя ярового прочего
01.11.31.300,Зерноотходы ячменя
01.11.31.310,Зерноотходы ячменя озимого
01.11.31.320,Зерноотходы ячменя ярового
01.11.32,Рожь
01.11.32.110,Рожь озимая
01.11.32.111,Зерно озимой ржи
01.11.32.112,Семена озимой ржи
01.11.32.131,Зерноотходы ржи озимой
01.11.32.132,Зерноотходы ржи яровой
01.11.32.120,Рожь яровая
01.11.32.121,Зерно яровой ржи
01.11.32.122,Семена яровой ржи
01.11.32.130,Зерноотходы ржи
01.11.33,Овес
01.11.33.110,Зерно овса
01.11.33.111,Семена овса
01.11.33.112,Зерноотходы овса
01.11.4,"Сорго, просо и прочие зерновые культуры"
01.11.41,Сорго
01.11.41.100,Зерно сорго
01.11.41.200,Семена сорго
01.11.41.210,Семена сорго зернового
01.11.41.211,Семена сорго зернового - сорта
01.11.41.212,Семена сорго зернового - гибриды
01.11.41.220,Семена сорго сахарного
01.11.41.221,Семена сорго сахарного - сорта
01.11.41.222,Семена сорго сахарного - гибриды
01.11.41.230,Семена сорго веничного - сорта
01.11.41.240,Семена сорго суданкового - гибриды
01.11.41.300,Зерноотходы сорго
01.11.42,Просо
01.11.42.110,Зерно проса
01.11.42.120,Семена проса
01.11.42.130,Зерноотходы проса
01.11.49,Культуры зерновые прочие
01.11.49.110,Гречиха
01.11.49.111,Зерно гречихи
01.11.49.112,Семена гречихи
01.11.49.113,Зерноотходы гречихи
01.11.49.120,Тритикале (пшенично-ржаной гибрид)
01.11.49.121,Зерно ярового тритикале
01.11.49.122,Семена ярового тритикале
01.11.49.123,Зерно озимого тритикале
01.11.49.124,Семена озимого тритикале
01.11.49.125,Зерноотходы тритикале
01.11.49.130,Чумиза
01.11.49.131,Зерно чумизы
01.11.49.132,Семена чумизы
01.11.49.133,Зерноотходы чумизы
01.11.49.140,Вика и смеси виковые на зерно
01.11.49.150,Люпин кормовой сладкий на зерно
01.11.49.190,"Культуры зерновые прочие, не включенные в другие группировки"
01.11.49.191,"Зерно зерновых культур, не включенных в другие группировки"
01.11.49.192,"Семена зерновых культур, не включенных в другие группировки"
01.11.49.193,"Зерноотходы зерновых культур, не включенных в другие группировки"
01.11.5,Солома и мякина зерновых культур
01.11.50,Солома и мякина зерновых культур
01.11.50.000,Солома и мякина зерновых культур
01.11.6,Овощи бобовые зеленые
01.11.61,Фасоль овощная
01.11.61.000,Фасоль овощная
01.11.62,Горох овощной
01.11.62.000,Горох овощной
01.11.69,Овощи бобовые зеленые прочие
01.11.69.000,Овощи бобовые зеленые прочие
01.11.7,Овощи бобовые сушеные (культуры зернобобовые)
01.11.71,Фасоль сушеная
01.11.71.110,Зерно фасоли
01.11.71.120,Семена фасоли
01.11.72,Бобы кормовые сушеные
01.11.72.110,Зерно кормовых бобов
01.11.72.120,Семена кормовых бобов
01.11.73,Нут (бараний горох) сушеный
01.11.73.110,Зерно нута
01.11.73.120,Семена нута
01.11.74,Чечевица сушеная
01.11.74.110,Зерно чечевицы
01.11.74.120,Семена чечевицы
01.11.75,Горох сушеный
01.11.75.110,Зерно гороха
01.11.75.120,Семена гороха
01.11.79,"Культуры зернобобовые (овощи бобовые сушеные), не включенные в другие группировки"
01.11.79.110,Чина сушеная
01.11.79.111,Зерно чины
01.11.79.112,Семена чины
01.11.79.120,Маш сушеный
01.11.79.121,Зерно маша
01.11.79.122,Семена маша
01.11.79.190,"Культуры зернобобовые (овощи бобовые сушеные) прочие, не включенные в другие группировки"
01.11.79.191,"Зерно прочих зернобобовых культур (овощей бобовых сушеных), не включенных в другие группировки"
01.11.79.192,"Семена прочих зернобобовых культур (овощей бобовых сушеных), не включенных в другие группировки"
01.11.79.199,Зерноотходы прочих зернобобовых культур (овощей бобовых сушеных)
01.11.8,"Бобы соевые, орехи земляные, семена хлопка"
01.11.81,Бобы соевые
01.11.81.110,Бобы соевые для посева
01.11.81.120,Бобы соевые для переработки
01.11.82,Арахис (орех земляной) нелущеный
01.11.82.000,Арахис (орех земляной) нелущеный
01.11.83,Арахис (орех земляной) лущеный
01.11.83.000,Арахис (орех земляной) лущеный
01.11.84,Семена хлопчатника
01.11.84.000,Семена хлопчатника
01.11.9,"Семена льна, горчицы, рапса, сурепицы, кунжута, подсолнечника и семена прочих масличных культур, не включенные в другие группировки"
01.11.91,Семена льна
01.11.91.110,Семена льна для посева
01.11.91.111,Семена льна-кудряша для посева
01.11.91.112,Семена льна-долгунца для посева
01.11.91.120,Семена льна для переработки
01.11.92,Семена горчицы
01.11.92.110,Семена горчицы для посева
01.11.92.120,Семена горчицы для переработки
01.11.93,Семена рапса
01.11.93.110,Семена озимого рапса
01.11.93.111,Семена озимого рапса для посева
01.11.93.112,Семена озимого рапса для переработки
01.11.93.120,Семена ярового рапса (кользы)
01.11.93.121,Семена ярового рапса (кользы) для посева
01.11.93.122,Семена ярового рапса (кользы) для переработки
01.11.94,Семена кунжута
01.11.94.110,Семена кунжута для посева
01.11.94.120,Семена кунжута для переработки
01.11.95,Семена подсолнечника
