время,макс_темп,мин_темп,сум_осад
2021-01-01,0.4,-1.7000000000000002,4.3
2021-01-02,0.9,-1.1,0.3
2021-01-03,1.0,-0.6000000000000001,0.0
2021-01-04,1.1,-2.0,0.0
2021-01-05,-0.6000000000000001,-2.4,0.0
2021-01-06,-2.8,-5.1,0.0
2021-01-07,-4.9,-5.7,0.0
2021-01-08,-3.1,-5.9,0.0
2021-01-09,-5.1,-6.1,0.0
2021-01-10,-6.2,-10.4,0.0
2021-01-11,-8.8,-11.5,0.0
2021-01-12,-10.1,-13.0,0.0
2021-01-13,-9.6,-12.7,0.0
2021-01-14,-12.7,-15.8,0.0
2021-01-15,-15.8,-20.5,0.0
2021-01-16,-15.2,-17.1,0.0
2021-01-17,-17.1,-24.7,0.0
2021-01-18,-19.2,-26.6,0.0
2021-01-19,-12.8,-19.9,0.0
2021-01-20,-6.6,-12.9,0.0
2021-01-21,-10.1,-15.7,0.0
2021-01-22,-1.3,-12.0,0.0
2021-01-23,1.5,-2.1,0.0
2021-01-24,2.5,0.4,0.0
2021-01-25,3.0,0.2,0.0
2021-01-26,1.7000000000000002,0.1,0.0
2021-01-27,1.5,-0.9,0.0
2021-01-28,0.9,-3.3,0.0
2021-01-29,1.2,-1.6,0.1
2021-01-30,-1.6,-3.7,0.0
2021-01-31,-3.5,-4.4,0.0
2021-02-01,-1.3,-9.3,0.0
2021-02-02,-4.3,-14.9,0.0
2021-02-03,-2.9,-12.9,0.0
2021-02-04,-1.3,-7.1,0.0
2021-02-05,-7.2,-13.3,0.0
2021-02-06,-13.4,-18.1,0.0
2021-02-07,-11.3,-18.7,0.0
2021-02-08,-9.5,-22.0,0.0
2021-02-09,-13.1,-23.2,0.0
2021-02-10,-11.8,-16.1,0.0
2021-02-11,-12.4,-17.7,0.0
2021-02-12,-14.2,-15.7,0.0
2021-02-13,-12.7,-15.5,0.0
2021-02-14,-12.2,-16.1,0.0
2021-02-15,-13.4,-22.9,0.0
2021-02-16,-12.1,-25.6,0.0
2021-02-17,-9.2,-14.7,0.0
2021-02-18,-12.9,-18.8,0.0
2021-02-19,-11.2,-19.7,0.0
2021-02-20,-7.2,-19.6,0.0
2021-02-21,-6.8,-12.5,0.0
2021-02-22,-8.8,-20.8,0.0
2021-02-23,-17.5,-25.8,0.0
2021-02-24,-13.2,-19.5,0.0
2021-02-25,2.9,-13.2,0.1
2021-02-26,5.3,2.5,1.3
2021-02-27,3.0,-1.3,0.1
2021-02-28,2.0,-1.6,0.2
2021-03-01,2.6,-0.7000000000000001,0.0
2021-03-02,4.1,-0.0,0.0
2021-03-03,3.2,-2.9,0.0
2021-03-04,2.3,-2.5,1.1
2021-03-05,-1.9,-9.6,0.0
2021-03-06,-4.1,-12.2,0.0
2021-03-07,-1.9,-9.5,0.0
2021-03-08,-4.9,-11.2,0.0
2021-03-09,-9.8,-18.2,0.0
2021-03-10,-13.1,-23.2,0.0
2021-03-11,-7.0,-24.6,0.0
2021-03-12,-5.6,-18.6,0.0
2021-03-13,-2.3,-7.2,0.0
2021-03-14,2.2,-2.2,0.8
2021-03-15,2.6,1.5,2.0
2021-03-16,2.9,-0.2,0.8
2021-03-17,1.6,-0.9,0.0
2021-03-18,2.2,-2.0,0.0
2021-03-19,1.2,-2.5,0.0
2021-03-20,0.4,-6.5,0.0
2021-03-21,0.4,-5.1,0.0
2021-03-22,1.6,-2.4,0.1
2021-03-23,0.8,-4.2,0.0
2021-03-24,4.9,-9.5,0.0
2021-03-25,8.6,-4.1,0.0
2021-03-26,8.4,-2.5,0.0
2021-03-27,7.9,-1.2,0.0
2021-03-28,10.0,-4.3,0.0
2021-03-29,7.6,-3.3,0.0
2021-03-30,6.6,-2.3,2.9
2021-03-31,5.5,1.5,4.2
2021-04-01,7.8,2.5,4.9
2021-04-02,5.9,-1.7000000000000002,2.4
2021-04-03,6.6,-4.0,0.1
2021-04-04,6.2,-1.7000000000000002,0.0
2021-04-05,8.1,0.0,0.0
2021-04-06,11.1,0.8,0.3
2021-04-07,11.1,2.5,3.0
2021-04-08,3.7,0.4,6.3
2021-04-09,8.0,-0.7000000000000001,0.0
2021-04-10,11.7,-0.8,0.0
2021-04-11,16.9,1.3,0.0
2021-04-12,15.1,1.4,0.0
2021-04-13,22.1,7.6,0.0
2021-04-14,21.8,9.2,0.0
2021-04-15,20.0,7.8,0.0
2021-04-16,16.5,7.2,0.0
2021-04-17,17.9,7.4,0.0
2021-04-18,13.5,5.7,0.8
2021-04-19,12.3,5.9,0.0
2021-04-20,9.4,2.7,3.1
2021-04-21,6.3,0.9,4.5
2021-04-22,14.4,4.3,1.5
2021-04-23,15.2,5.2,6.8
2021-04-24,5.2,2.7,15.2
2021-04-25,5.9,1.6,0.6
2021-04-26,8.1,0.7000000000000001,0.4
2021-04-27,4.4,1.4,2.9
2021-04-28,8.5,1.1,0.2
2021-04-29,11.1,2.3,0.0
2021-04-30,14.5,5.0,7.1
2021-05-01,12.8,4.9,0.1
2021-05-02,13.4,2.0,0.0
2021-05-03,18.5,7.3,10.7
2021-05-04,8.3,4.4,1.6
2021-05-05,13.8,4.1,0.5
2021-05-06,17.0,7.3,1.6
2021-05-07,14.7,4.7,0.5
2021-05-08,9.9,7.8,23.8
2021-05-09,10.2,5.0,3.2
2021-05-10,16.2,3.1,0.0
2021-05-11,22.5,4.2,0.0
2021-05-12,23.6,9.3,2.2
2021-05-13,18.0,8.5,0.0
2021-05-14,22.4,8.1,0.4
2021-05-15,23.2,12.9,0.5
2021-05-16,22.7,11.5,0.0
2021-05-17,29.4,9.9,0.0
2021-05-18,30.5,17.1,0.0
2021-05-19,24.2,15.5,0.0
2021-05-20,18.7,13.0,9.3
2021-05-21,15.7,8.6,0.4
2021-05-22,20.2,5.7,0.0
2021-05-23,21.7,9.6,0.0
2021-05-24,19.7,9.4,0.0
2021-05-25,20.2,8.6,0.0
2021-05-26,23.3,8.9,0.0
2021-05-27,20.0,13.9,8.3
2021-05-28,22.3,12.9,2.1
2021-05-29,18.3,10.3,16.2
2021-05-30,13.5,7.4,0.0
2021-05-31,13.0,6.5,0.1
2021-06-01,16.9,4.5,0.0
2021-06-02,19.8,6.3,0.0
2021-06-03,20.6,7.9,0.0
2021-06-04,22.2,10.1,0.0
2021-06-05,22.8,10.5,0.0
2021-06-06,22.3,11.0,3.6
2021-06-07,21.3,12.8,3.4
2021-06-08,21.3,13.1,10.6
2021-06-09,19.7,14.6,6.4
2021-06-10,15.8,13.8,8.6
2021-06-11,17.0,13.0,7.3
2021-06-12,21.3,14.6,5.5
2021-06-13,23.4,12.2,0.4
2021-06-14,26.2,12.6,1.4
2021-06-15,27.1,14.4,1.8
2021-06-16,23.4,12.8,0.0
2021-06-17,24.1,10.2,0.0
2021-06-18,26.0,10.7,0.0
2021-06-19,27.8,13.3,0.0
2021-06-20,29.1,13.9,0.0
2021-06-21,29.9,16.3,0.0
2021-06-22,32.4,16.3,0.0
